"Epoch","Metric","Value"
24,"MRR",0.186634686895744
24,"Loss",0.27088053324183
25,"AUROC",0.89969434447078
25,"MRR",0.205467827200161
25,"Loss",0.251184193388683
26,"AUROC",0.884324622649527
26,"MRR",0.187730196343653
26,"Loss",0.274705042323131
27,"AUROC",0.888687096955243
27,"MRR",0.197642916789817
27,"Loss",0.247168945097165
28,"AUROC",0.87937880576251
28,"MRR",0.191748562578977
28,"Loss",0.237568731926061
29,"AUROC",0.899684760680641
29,"MRR",0.193978803845349
29,"Loss",0.236198203099702
30,"AUROC",0.893202416439552
30,"MRR",0.203932431884823
30,"Loss",0.224917362160584
31,"AUROC",0.904099001520578
31,"MRR",0.200176098534294
31,"Loss",0.216952130824278
32,"AUROC",0.90805657705042
32,"MRR",0.20688121917755
32,"Loss",0.227162633230058
33,"AUROC",0.912504273283579
33,"MRR",0.206368436020056
33,"Loss",0.204704907072934
34,"AUROC",0.901013235712953
34,"MRR",0.206956330702109
34,"Loss",0.18884817852072
35,"AUROC",0.911452666963967
35,"MRR",0.201318553585651
35,"Loss",0.200651042419025
36,"AUROC",0.895083133347857
36,"MRR",0.206644054150845
36,"Loss",0.188665727090171
37,"AUROC",0.903837275826862
37,"MRR",0.214905719063946
37,"Loss",0.18260316279945
38,"AUROC",0.904495990106073
38,"MRR",0.218006589329377
38,"Loss",0.17301337363773
39,"AUROC",0.893084721255117
39,"MRR",0.213789614650794
39,"Loss",0.184066595443326
40,"AUROC",0.913694933017281
40,"MRR",0.217269822761093
40,"Loss",0.174328787851586
41,"AUROC",0.915980949845436
41,"MRR",0.223833970376736
41,"Loss",0.177694097464301
42,"AUROC",0.912297391999357
42,"MRR",0.226307545438335
42,"Loss",0.166830660699569
43,"AUROC",0.922035852350506
43,"MRR",0.214454124628597
43,"Loss",0.15938190558037
44,"AUROC",0.910878863091273
44,"MRR",0.220130901198898
44,"Loss",0.175406098888484
45,"AUROC",0.906410484241443
45,"MRR",0.227452633510611
45,"Loss",0.157256525187718
46,"AUROC",0.921430398723274
46,"MRR",0.219777208250023
46,"Loss",0.166648157038356
47,"AUROC",0.912038968415243
47,"MRR",0.222500322035094
47,"Loss",0.142462592364813
48,"AUROC",0.93
48,"MRR",0.222927876265401
48,"Loss",0.147234370816788
49,"AUROC",0.91607178996961
49,"MRR",0.219477339682494
49,"Loss",0.146719198064511
50,"AUROC",0.92520643064754
50,"MRR",0.222213693385959
50,"Loss",0.143113666460866
51,"AUROC",0.922939526101207
51,"MRR",0.22477764237297
51,"Loss",0.158208365087323
52,"AUROC",0.914464076633451
52,"MRR",0.223311819196529
52,"Loss",0.142273446792281
53,"AUROC",0.93
53,"MRR",0.23137496228388
53,"Loss",0.142799906523732
54,"AUROC",0.92653277057081
54,"MRR",0.223802406632904
54,"Loss",0.128862600039555
55,"AUROC",0.922396334852224
55,"MRR",0.224415109797217
55,"Loss",0.128990676738272
56,"AUROC",0.924156248149096
56,"MRR",0.230414758395846
56,"Loss",0.144324035528671
57,"AUROC",0.927622509587428
57,"MRR",0.221975554300638
57,"Loss",0.145049046193135
58,"AUROC",0.923131681341803
58,"MRR",0.227359768797862
58,"Loss",0.143130848167784
59,"AUROC",0.898675141224178
59,"MRR",0.22009167572542
59,"Loss",0.115067897769106
60,"AUROC",0.925089230853542
60,"MRR",0.233952932301767
60,"Loss",0.147657224046914
61,"AUROC",0.920047379444735
61,"MRR",0.226999276972595
61,"Loss",0.135658420818613
62,"AUROC",0.924628191094572
62,"MRR",0.22626254937959
62,"Loss",0.123600952820602
63,"AUROC",0.92794914633919
63,"MRR",0.222629676074128
63,"Loss",0.129326812995697
64,"AUROC",0.93
64,"MRR",0.228987154856765
64,"Loss",0.11104164077666
65,"AUROC",0.917738036785776
65,"MRR",0.22521635861801
65,"Loss",0.108298965237648
66,"AUROC",0.93
66,"MRR",0.226729742290797
66,"Loss",0.118294606028999
67,"AUROC",0.926464781306373
67,"MRR",0.236003442333694
67,"Loss",0.104399642506509
68,"AUROC",0.93
68,"MRR",0.228844472982648
68,"Loss",0.11690071558487
69,"AUROC",0.93
69,"MRR",0.224510098901384
69,"Loss",0.126627536332772
70,"AUROC",0.929815327902119
70,"MRR",0.23082247915142
70,"Loss",0.10199441522992
71,"AUROC",0.915779444613419
71,"MRR",0.228321323050226
71,"Loss",0.103662925374578
72,"AUROC",0.923472914449698
72,"MRR",0.233205361365544
72,"Loss",0.110257518421322
73,"AUROC",0.929246962614994
73,"MRR",0.237529924638582
73,"Loss",0.098389761565574
74,"AUROC",0.916689892151945
74,"MRR",0.22550961697602
74,"Loss",0.103535022067938
75,"AUROC",0.920029971889135
75,"MRR",0.232844806724095
75,"Loss",0.114924907431432
76,"AUROC",0.92907073832909
76,"MRR",0.23108817023912
76,"Loss",0.114748760452835
77,"AUROC",0.93
77,"MRR",0.235227691166313
77,"Loss",0.107773362394181
78,"AUROC",0.928221522970604
78,"MRR",0.229681597648067
78,"Loss",0.0843257624037514
79,"AUROC",0.917464239600247
79,"MRR",0.235089009017915
79,"Loss",0.101231864838304
80,"AUROC",0.915788146825382
80,"MRR",0.222251195294624
80,"Loss",0.111373458612974
81,"AUROC",0.93
81,"MRR",0.239489779446733
81,"Loss",0.107834279498579
82,"AUROC",0.92671326159228
82,"MRR",0.235428127772295
82,"Loss",0.0967928360091593
83,"AUROC",0.925385405167937
83,"MRR",0.230408128335105
83,"Loss",0.0707218345600741
84,"AUROC",0.923736466060882
84,"MRR",0.22397101724141
84,"Loss",0.0973718108909978
85,"AUROC",0.915172702968223
85,"MRR",0.234481655504879
85,"Loss",0.101560999264777
86,"AUROC",0.929645110473116
86,"MRR",0.233729879726704
86,"Loss",0.095362652120375
87,"AUROC",0.923032074557654
87,"MRR",0.231326380261873
87,"Loss",0.0955791649142487
88,"AUROC",0.923325593955888
88,"MRR",0.232156832158597
88,"Loss",0.097439919490772
89,"AUROC",0.93
89,"MRR",0.228517732499611
89,"Loss",0.0882963311515083
90,"AUROC",0.93
90,"MRR",0.233318538201698
90,"Loss",0.104517061665977
91,"AUROC",0.93
91,"MRR",0.232981667023806
91,"Loss",0.0952941210885772
92,"AUROC",0.921038451476775
92,"MRR",0.230143803526145
92,"Loss",0.077353433372362
93,"AUROC",0.93
93,"MRR",0.22488857743064
93,"Loss",0.102802480329463
